fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score,clv_stage,logged_at
2026-05-08 01:11 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Tyler O'Neill,0.5,-179,134,641933.0,hitter,1.767,0.8564,0.6002,0.2562,-0.2562,0.3348,-0.6639,OVER,0.3348,VALUE,0.3683,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Taylor Ward,0.5,-222,165,621493.0,hitter,2.347,0.9135,0.6463,0.2672,-0.2672,0.325,-0.7708,OVER,0.325,VALUE,0.3575,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,Alec Bohm,0.5,-188,140,664761.0,hitter,1.837,0.8649,0.6104,0.2545,-0.2545,0.3249,-0.6757,OVER,0.3249,VALUE,0.3574,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_hits,Xavier Edwards,0.5,-265,195,669364.0,hitter,3.057,0.9535,0.6817,0.2718,-0.2718,0.3133,-0.8629,OVER,0.3133,VALUE,0.3447,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Pete Alonso,0.5,-240,178,624413.0,hitter,2.367,0.915,0.6624,0.2526,-0.2526,0.2963,-0.7637,OVER,0.2963,VALUE,0.3259,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Milwaukee Brewers,New York Yankees,2026-05-08T23:41:00Z,draftkings,batter_hits,Aaron Judge,0.5,-203,151,592450.0,hitter,1.867,0.8684,0.6271,0.2413,-0.2413,0.2962,-0.6697,OVER,0.2962,VALUE,0.3258,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,J.T. Realmuto,0.5,-197,147,592663.0,hitter,1.737,0.8525,0.621,0.2316,-0.2316,0.2853,-0.6358,OVER,0.2853,VALUE,0.3138,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_hits,Javier Sanoja,0.5,-187,140,691594.0,hitter,1.617,0.8362,0.6099,0.2263,-0.2263,0.2834,-0.6069,OVER,0.2834,VALUE,0.3117,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Jeremiah Jackson,0.5,-213,159,669236.0,hitter,1.787,0.8589,0.638,0.2208,-0.2208,0.2621,-0.6344,OVER,0.2621,VALUE,0.2883,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Adley Rutschman,0.5,-234,173,668939.0,hitter,1.847,0.8661,0.6567,0.2094,-0.2094,0.2362,-0.6344,OVER,0.2362,VALUE,0.2598,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,Bryce Harper,0.5,-268,197,547180.0,hitter,1.797,0.8601,0.6838,0.1762,-0.1762,0.181,-0.5844,OVER,0.181,VALUE,0.1991,1.1,96,open,2026-05-08 01:11 ET
2026-05-22 21:49 ET,2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,2026-05-22T23:08:00Z,draftkings,batter_rbis,Ernie Clement,0.5,3000,-50000,676391.0,hitter,0.25,0.2212,0.0313,0.1899,-0.1899,5.8572,-0.2196,OVER,5.8572,REVIEW,6.4429,1.1,96,open,2026-05-22 21:49 ET
2026-05-22 21:49 ET,2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,2026-05-22T23:08:00Z,draftkings,batter_hits,Ernie Clement,1.5,3000,-50000,676391.0,hitter,0.55,0.1203,0.0313,0.089,-0.089,2.7294,-0.1185,OVER,2.7294,REVIEW,3.0024,1.1,96,open,2026-05-22 21:49 ET
2026-05-22 21:49 ET,2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,2026-05-22T23:08:00Z,draftkings,batter_total_bases,Ernie Clement,2.5,3000,-50000,676391.0,hitter,0.7,0.0536,0.0313,0.0223,-0.0223,0.6621,-0.0517,OVER,0.6621,REVIEW,0.7283,1.1,96,open,2026-05-22 21:49 ET
2026-05-22 21:49 ET,2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,2026-05-22T23:08:00Z,draftkings,batter_rbis,Ernie Clement,0.5,3000,-50000,676391.0,hitter,0.25,0.2212,0.0313,0.1899,-0.1899,5.8572,-0.2196,OVER,5.8572,REVIEW,6.4429,1.1,96,close,2026-05-22 21:49 ET
2026-05-22 21:49 ET,2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,2026-05-22T23:08:00Z,draftkings,batter_hits,Ernie Clement,1.5,3000,-50000,676391.0,hitter,0.55,0.1203,0.0313,0.089,-0.089,2.7294,-0.1185,OVER,2.7294,REVIEW,3.0024,1.1,96,close,2026-05-22 21:49 ET
2026-05-22 21:49 ET,2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,2026-05-22T23:08:00Z,draftkings,batter_total_bases,Ernie Clement,2.5,3000,-50000,676391.0,hitter,0.7,0.0536,0.0313,0.0223,-0.0223,0.6621,-0.0517,OVER,0.6621,REVIEW,0.7283,1.1,96,close,2026-05-22 21:49 ET
